doc_id	table_index	rows	cols	p-value	metadata
19448621	1	25	11	2.5E-07   	['WGHS', 'P value', 'e', 'Age at Menarche']
19448621	1	11	14	9.7E-08   	['Joint analysis', 'P value', 'e', ',', 'f', 'Age at Menarche']
19448621	1	14	14	1.2E-21   	['Joint analysis', 'P value', 'e', ',', 'f', 'Age at Menarche']
19448621	1	19	11	1.1E-10   	['WGHS', 'P value', 'e', 'Age at Menarche']
19448621	1	19	14	1.3E-13   	['Joint analysis', 'P value', 'e', ',', 'f', 'Age at Menarche']
19448621	1	6	11	2.1E-09   	['WGHS', 'P value', 'e', 'Age at Menarche']
19448621	1	25	14	5.1E-08   	['Joint analysis', 'P value', 'e', ',', 'f', 'Age at Menarche']
19448621	1	15	8	3.4E-07   	['NHS', 'P value', 'e', 'Age at Menarche']
19448621	1	10	14	7.9E-08   	['Joint analysis', 'P value', 'e', ',', 'f', 'Age at Menarche']
19448621	1	18	14	8.4E-14   	['Joint analysis', 'P value', 'e', ',', 'f', 'Age at Menarche']
19448621	1	21	11	3.2E-09   	['WGHS', 'P value', 'e', 'Age at Menarche']
19448621	1	16	14	2.4E-18   	['Joint analysis', 'P value', 'e', ',', 'f', 'Age at Menarche']
19448621	1	15	11	5.0E-14   	['WGHS', 'P value', 'e', 'Age at Menarche']
19448621	1	10	11	4.2E-07   	['WGHS', 'P value', 'e', 'Age at Menarche']
19454037	3	5	2	9.62E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	3	14	2	3.12E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	2	8	4	9.09E-05  	['P', '\xe2\x80\xa0']
19454037	4	8	2	2.26E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	2	10	4	8.33E-05  	['P', '\xe2\x80\xa0']
19454037	4	4	2	6.43E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	4	5	2	9.62E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	5	12	2	9.10E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	2	1	4	8.47E-07  	['P', '\xe2\x80\xa0']
19454037	3	9	2	5.19E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	5	10	2	9.09E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	5	3	2	8.47E-07  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	3	6	2	7.34E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	2	9	4	8.68E-05  	['P', '\xe2\x80\xa0']
19454037	2	5	4	3.27E-06  	['P', '\xe2\x80\xa0']
19454037	5	13	2	3.12E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	3	10	2	9.09E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	3	12	2	9.10E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	3	8	2	2.26E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	5	7	2	3.27E-06  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	4	10	2	9.09E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	4	9	2	5.19E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	4	7	2	3.27E-06  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	2	2	4	6.43E-05  	['P', '\xe2\x80\xa0']
19454037	2	3	4	9.62E-05  	['P', '\xe2\x80\xa0']
19454037	2	6	4	2.26E-05  	['P', '\xe2\x80\xa0']
19454037	4	3	2	8.47E-07  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	5	4	2	6.43E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	4	12	2	9.10E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	5	9	2	5.19E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	3	7	2	3.27E-06  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	5	11	2	8.33E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	3	3	2	8.47E-07  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	3	11	2	8.33E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	4	6	2	7.34E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	2	4	4	7.34E-05  	['P', '\xe2\x80\xa0']
19454037	2	7	4	5.19E-05  	['P', '\xe2\x80\xa0']
19454037	3	4	2	6.43E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	4	14	2	3.12E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	4	11	2	8.33E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	5	6	2	7.34E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	2	11	4	9.10E-05  	['P', '\xe2\x80\xa0']
19454037	5	5	2	9.62E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	5	8	2	2.26E-05  	['GWAS Cases and Controls (101 pairs)', 'P']
19454037	2	12	4	3.12E-05  	['P', '\xe2\x80\xa0']
19503597	2	4	12	3.11E-07  	['Women', 'p-value']
19503597	2	14	8	3.57E-05  	['Men', 'p-value']
19503597	2	6	14	3.8E-17   	['Difference', 'p-value', '0.140']
19503597	1	3	10	1.40E-09  	['All individuals', 'p-value']
19503597	2	11	12	4.48E-08  	['Women', 'p-value']
19503597	2	16	8	1.62E-06  	['Men', 'p-value']
19503597	2	10	8	2.68E-05  	['Men', 'p-value']
19503597	2	3	8	2.94E-07  	['Men', 'p-value']
19503597	2	17	8	7.22E-07  	['Men', 'p-value']
19503597	1	4	10	5.22E-201 	['All individuals', 'p-value']
19503597	2	5	8	6.18E-04  	['Men', 'p-value']
19503597	2	9	12	6.85E-10  	['Women', 'p-value']
19503597	2	16	12	3.22E-09  	['Women', 'p-value']
19503597	2	7	12	2.36E-196 	['Women', 'p-value']
19503597	1	6	10	8.50E-09  	['All individuals', 'p-value']
19503597	1	5	10	3.10E-26  	['All individuals', 'p-value']
19503597	2	14	12	3.29E-05  	['Women', 'p-value']
19503597	2	8	12	1.13E-10  	['Women', 'p-value']
19503597	2	7	14	2.1E-19   	['Difference', 'p-value', '0.140']
19503597	1	7	10	3.04E-14  	['All individuals', 'p-value']
19503597	2	6	8	1.13E-41  	['Men', 'p-value']
19503597	2	8	8	2.25E-18  	['Men', 'p-value']
19503597	1	8	10	1.07E-08  	['All individuals', 'p-value']
19503597	2	2	12	9.10E-04  	['Women', 'p-value']
19503597	1	2	10	2.68E-09  	['All individuals', 'p-value']
19503597	2	4	8	3.05E-04  	['Men', 'p-value']
19503597	2	5	12	2.30E-07  	['Women', 'p-value']
19503597	2	9	8	1.65E-18  	['Men', 'p-value']
19503597	2	13	12	1.01E-07  	['Women', 'p-value']
19503597	2	3	12	1.10E-03  	['Women', 'p-value']
19503597	2	12	12	2.77E-08  	['Women', 'p-value']
19503597	1	9	10	6.68E-14  	['All individuals', 'p-value']
19503597	2	2	8	3.68E-07  	['Men', 'p-value']
19503597	2	13	8	2.24E-08  	['Men', 'p-value']
19503597	2	10	12	8.14E-05  	['Women', 'p-value']
19503597	2	15	12	3.60E-09  	['Women', 'p-value']
19503597	2	11	8	2.52E-08  	['Men', 'p-value']
19503597	1	10	10	2.04E-09  	['All individuals', 'p-value']
19503597	2	6	12	1.05E-192 	['Women', 'p-value']
19503597	2	7	8	1.50E-38  	['Men', 'p-value']
19503597	2	12	8	6.22E-08  	['Men', 'p-value']
19503597	2	15	8	1.50E-06  	['Men', 'p-value']
19503597	2	17	12	1.02E-04  	['Women', 'p-value']
19557197	2	38	5	9.2E-03   	['COMBINED pvalue']
19557197	2	19	5	8.0E-07   	['COMBINED pvalue']
19557197	2	6	3	2.5E-06   	['CHARGE pvalue']
19557197	2	42	5	2.6E-05   	['COMBINED pvalue']
19557197	2	20	5	4.2E-06   	['COMBINED pvalue']
19557197	2	38	3	6.2E-05   	['CHARGE pvalue']
19557197	2	45	5	3.5E-03   	['COMBINED pvalue']
19557197	2	18	5	1.9E-03   	['COMBINED pvalue']
19557197	2	6	5	2.3E-06   	['COMBINED pvalue']
19557197	2	34	3	3.7E-05   	['CHARGE pvalue']
19557197	2	10	5	5.0E-06   	['COMBINED pvalue']
19557197	2	28	3	2.5E-05   	['CHARGE pvalue']
19557197	2	2	5	3.4E-03   	['COMBINED pvalue']
19557197	2	42	3	9.5E-05   	['CHARGE pvalue']
19557197	2	2	3	9.8E-07   	['CHARGE pvalue']
19557197	2	39	5	4.4E-04   	['COMBINED pvalue']
19557197	2	8	5	3.4E-03   	['COMBINED pvalue']
19557197	2	25	5	8.0E-04   	['COMBINED pvalue']
19557197	2	48	3	1.8E-04   	['CHARGE pvalue']
19557197	2	47	3	5.3E-04   	['CHARGE pvalue']
19557197	2	9	3	4.5E-06   	['CHARGE pvalue']
19557197	2	40	3	7.4E-05   	['CHARGE pvalue']
19557197	2	31	5	1.9E-03   	['COMBINED pvalue']
19557197	2	14	3	7.9E-06   	['CHARGE pvalue']
19557197	2	33	5	4.9E-05   	['COMBINED pvalue']
19557197	2	35	3	4.2E-05   	['CHARGE pvalue']
19557197	2	34	5	2.1E-05   	['COMBINED pvalue']
19557197	2	13	5	2.9E-03   	['COMBINED pvalue']
19557197	2	45	3	2.4E-04   	['CHARGE pvalue']
19557197	2	5	3	1.9E-06   	['CHARGE pvalue']
19557197	2	26	5	1.8E-04   	['COMBINED pvalue']
19557197	2	11	5	3.7E-04   	['COMBINED pvalue']
19557197	2	37	5	1.2E-03   	['COMBINED pvalue']
19557197	2	12	5	1.1E-03   	['COMBINED pvalue']
19557197	2	13	3	7.3E-06   	['CHARGE pvalue']
19557197	2	3	5	4.4E-04   	['COMBINED pvalue']
19557197	2	12	3	5.2E-06   	['CHARGE pvalue']
19557197	2	17	3	1.4E-05   	['CHARGE pvalue']
19557197	2	43	5	9.7E-05   	['COMBINED pvalue']
19557197	2	19	3	1.6E-05   	['CHARGE pvalue']
19557197	2	32	3	3.1E-05   	['CHARGE pvalue']
19557197	2	31	3	3.1E-05   	['CHARGE pvalue']
19557197	2	11	3	4.7E-06   	['CHARGE pvalue']
19557197	2	35	5	6.1E-03   	['COMBINED pvalue']
19557197	2	5	5	3.3E-06   	['COMBINED pvalue']
19557197	2	25	3	2.3E-05   	['CHARGE pvalue']
19557197	2	30	3	3.1E-05   	['CHARGE pvalue']
19557197	2	7	3	3.6E-06   	['CHARGE pvalue']
19557197	2	36	5	1.4E-04   	['COMBINED pvalue']
19557197	2	20	3	1.7E-05   	['CHARGE pvalue']
19557197	2	23	5	1.2E-05   	['COMBINED pvalue']
19557197	2	21	3	1.7E-05   	['CHARGE pvalue']
19557197	2	7	5	3.8E-04   	['COMBINED pvalue']
19557197	2	15	5	3.8E-04   	['COMBINED pvalue']
19557197	2	22	3	1.8E-05   	['CHARGE pvalue']
19557197	2	15	3	8.0E-06   	['CHARGE pvalue']
19557197	2	43	3	1.3E-04   	['CHARGE pvalue']
19557197	2	23	3	2.0E-05   	['CHARGE pvalue']
19557197	2	46	3	2.9E-04   	['CHARGE pvalue']
19557197	2	3	3	1.1E-06   	['CHARGE pvalue']
19557197	2	24	3	2.1E-05   	['CHARGE pvalue']
19557197	2	17	5	1.7E-04   	['COMBINED pvalue']
19557197	2	1	3	6.4E-07   	['CHARGE pvalue']
19557197	2	18	3	1.6E-05   	['CHARGE pvalue']
19557197	2	1	5	5.3E-08   	['COMBINED pvalue']
19557197	2	41	3	8.0E-05   	['CHARGE pvalue']
19557197	2	37	3	6.0E-05   	['CHARGE pvalue']
19557197	2	26	3	2.4E-05   	['CHARGE pvalue']
19557197	2	41	5	1.1E-04   	['COMBINED pvalue']
19557197	2	4	3	1.9E-06   	['CHARGE pvalue']
19557197	2	39	3	6.2E-05   	['CHARGE pvalue']
19557197	2	27	3	2.4E-05   	['CHARGE pvalue']
19557197	2	44	3	1.9E-04   	['CHARGE pvalue']
19557197	2	14	5	1.1E-04   	['COMBINED pvalue']
19557197	2	21	5	2.0E-03   	['COMBINED pvalue']
19557197	2	4	5	2.9E-03   	['COMBINED pvalue']
19557197	2	29	3	3.0E-05   	['CHARGE pvalue']
19557197	2	10	3	4.6E-06   	['CHARGE pvalue']
19557197	2	36	3	5.8E-05   	['CHARGE pvalue']
19557197	2	30	5	5.2E-04   	['COMBINED pvalue']
19557197	2	16	5	5.4E-03   	['COMBINED pvalue']
19557197	2	16	3	1.2E-05   	['CHARGE pvalue']
19557197	2	33	3	3.5E-05   	['CHARGE pvalue']
19557197	2	9	5	5.7E-05   	['COMBINED pvalue']
19557197	2	8	3	4.1E-06   	['CHARGE pvalue']
19571809	2	23	9	2.16E-03  	['----------------P-values----------------', 'SGENE']
19571809	2	27	6	3.22E-07  	['----------------P-values----------------', 'COMB']
19571809	2	14	6	1.12E-07  	['----------------P-values----------------', 'COMB']
19571809	2	23	7	1.22E-02  	['----------------P-values----------------', 'MGS']
19571809	2	30	6	6.88E-08  	['----------------P-values----------------', 'COMB']
19571809	1	19	4	8.00E-06  	['P-value']
19571809	2	26	8	6.00E-05  	['----------------P-values----------------', 'ISC']
19571809	1	9	4	4.06E-06  	['P-value']
19571809	2	3	7	1.40E-01  	['----------------P-values----------------', 'MGS']
19571809	2	27	8	1.13E-04  	['----------------P-values----------------', 'ISC']
19571809	2	17	8	3.96E-04  	['----------------P-values----------------', 'ISC']
19571809	2	19	8	2.23E-03  	['----------------P-values----------------', 'ISC']
19571809	2	13	6	9.54E-09  	['----------------P-values----------------', 'COMB']
19571809	2	21	8	8.77E-04  	['----------------P-values----------------', 'ISC']
19571809	2	27	9	6.51E-03  	['----------------P-values----------------', 'SGENE']
19571809	1	17	4	4.59E-06  	['P-value']
19571809	2	12	9	2.05E-04  	['----------------P-values----------------', 'SGENE']
19571809	2	3	8	5.66E-04  	['----------------P-values----------------', 'ISC']
19571809	2	30	7	1.32E-02  	['----------------P-values----------------', 'MGS']
19571809	2	17	9	1.11E-03  	['----------------P-values----------------', 'SGENE']
19571809	2	22	6	6.38E-08  	['----------------P-values----------------', 'COMB']
19571809	2	7	7	5.91E-03  	['----------------P-values----------------', 'MGS']
19571809	2	13	7	1.45E-02  	['----------------P-values----------------', 'MGS']
19571809	2	19	7	3.37E-03  	['----------------P-values----------------', 'MGS']
19571809	2	28	8	7.17E-05  	['----------------P-values----------------', 'ISC']
19571809	2	17	7	4.51E-02  	['----------------P-values----------------', 'MGS']
19571809	2	3	6	4.90E-07  	['----------------P-values----------------', 'COMB']
19571809	2	7	8	2.80E-04  	['----------------P-values----------------', 'ISC']
19571809	2	6	6	1.65E-07  	['----------------P-values----------------', 'COMB']
19571809	2	10	6	1.06E-08  	['----------------P-values----------------', 'COMB']
19571809	2	8	7	5.53E-03  	['----------------P-values----------------', 'MGS']
19571809	1	24	4	1.68E-05  	['P-value']
19571809	2	20	8	3.51E-03  	['----------------P-values----------------', 'ISC']
19571809	2	11	9	3.35E-04  	['----------------P-values----------------', 'SGENE']
19571809	2	31	6	8.87E-08  	['----------------P-values----------------', 'COMB']
19571809	2	6	7	5.32E-02  	['----------------P-values----------------', 'MGS']
19571809	2	6	8	7.47E-04  	['----------------P-values----------------', 'ISC']
19571809	2	27	7	2.83E-02  	['----------------P-values----------------', 'MGS']
19571809	1	7	4	3.04E-06  	['P-value']
19571809	2	23	8	6.40E-04  	['----------------P-values----------------', 'ISC']
19571809	1	25	4	1.70E-05  	['P-value']
19571809	2	11	7	1.71E-02  	['----------------P-values----------------', 'MGS']
19571809	2	11	8	3.03E-04  	['----------------P-values----------------', 'ISC']
19571809	2	12	6	1.29E-08  	['----------------P-values----------------', 'COMB']
19571809	2	12	8	3.03E-04  	['----------------P-values----------------', 'ISC']
19571809	2	21	7	6.85E-04  	['----------------P-values----------------', 'MGS']
19571809	2	18	6	3.02E-07  	['----------------P-values----------------', 'COMB']
19571809	2	28	6	4.77E-07  	['----------------P-values----------------', 'COMB']
19571809	2	10	9	2.08E-04  	['----------------P-values----------------', 'SGENE']
19571809	2	26	6	2.81E-07  	['----------------P-values----------------', 'COMB']
19571809	1	8	4	3.94E-06  	['P-value']
19571809	2	18	7	5.28E-02  	['----------------P-values----------------', 'MGS']
19571809	2	18	8	2.40E-03  	['----------------P-values----------------', 'ISC']
19571809	2	8	6	8.19E-07  	['----------------P-values----------------', 'COMB']
19571809	2	30	8	2.24E-05  	['----------------P-values----------------', 'ISC']
19571809	2	11	6	2.36E-08  	['----------------P-values----------------', 'COMB']
19571809	2	10	8	3.03E-04  	['----------------P-values----------------', 'ISC']
19571809	1	18	4	6.73E-06  	['P-value']
19571809	2	18	9	1.51E-04  	['----------------P-values----------------', 'SGENE']
19571809	2	10	7	1.22E-02  	['----------------P-values----------------', 'MGS']
19571809	2	7	9	3.40E-02  	['----------------P-values----------------', 'SGENE']
19571809	2	21	6	5.03E-08  	['----------------P-values----------------', 'COMB']
19571809	2	12	7	1.47E-02  	['----------------P-values----------------', 'MGS']
19571809	2	14	7	3.59E-02  	['----------------P-values----------------', 'MGS']
19571809	2	28	7	2.99E-02  	['----------------P-values----------------', 'MGS']
19571809	1	5	4	2.16E-06  	['P-value']
19571809	2	16	8	5.76E-04  	['----------------P-values----------------', 'ISC']
19571809	2	5	9	2.52E-04  	['----------------P-values----------------', 'SGENE']
19571809	1	13	4	1.49E-05  	['P-value']
19571809	2	25	9	8.69E-03  	['----------------P-values----------------', 'SGENE']
19571809	2	13	8	3.03E-04  	['----------------P-values----------------', 'ISC']
19571809	2	26	9	8.85E-03  	['----------------P-values----------------', 'SGENE']
19571809	1	6	4	3.02E-06  	['P-value']
19571809	1	4	4	9.49E-07  	['P-value']
19571809	2	19	6	7.13E-08  	['----------------P-values----------------', 'COMB']
19571809	1	23	4	1.59E-05  	['P-value']
19571809	2	5	7	4.99E-02  	['----------------P-values----------------', 'MGS']
19571809	2	15	7	1.34E-02  	['----------------P-values----------------', 'MGS']
19571809	2	7	6	9.27E-07  	['----------------P-values----------------', 'COMB']
19571809	2	31	9	9.92E-03  	['----------------P-values----------------', 'SGENE']
19571809	2	25	7	1.09E-01  	['----------------P-values----------------', 'MGS']
19571809	2	15	8	3.35E-03  	['----------------P-values----------------', 'ISC']
19571809	1	12	4	1.29E-05  	['P-value']
19571809	2	25	6	3.50E-07  	['----------------P-values----------------', 'COMB']
19571809	2	16	7	3.09E-02  	['----------------P-values----------------', 'MGS']
19571809	1	26	4	1.94E-05  	['P-value']
19571809	2	25	8	8.58E-06  	['----------------P-values----------------', 'ISC']
19571809	2	24	6	2.50E-07  	['----------------P-values----------------', 'COMB']
19571809	2	31	8	2.47E-05  	['----------------P-values----------------', 'ISC']
19571809	2	8	9	3.23E-02  	['----------------P-values----------------', 'SGENE']
19571809	2	3	9	2.85E-04  	['----------------P-values----------------', 'SGENE']
19571809	2	14	9	4.39E-04  	['----------------P-values----------------', 'SGENE']
19571809	1	20	4	9.19E-06  	['P-value']
19571809	2	24	9	2.82E-03  	['----------------P-values----------------', 'SGENE']
19571809	1	11	4	7.59E-06  	['P-value']
19571809	1	3	4	8.10E-07  	['P-value']
19571809	2	9	8	3.03E-04  	['----------------P-values----------------', 'ISC']
19571809	2	20	7	7.19E-04  	['----------------P-values----------------', 'MGS']
19571809	1	22	4	1.56E-05  	['P-value']
19571809	2	15	6	4.35E-08  	['----------------P-values----------------', 'COMB']
19571809	2	9	9	3.72E-04  	['----------------P-values----------------', 'SGENE']
19571809	2	17	6	2.68E-07  	['----------------P-values----------------', 'COMB']
19571809	2	22	8	8.82E-04  	['----------------P-values----------------', 'ISC']
19571809	1	10	4	7.58E-06  	['P-value']
19571809	2	21	9	5.70E-03  	['----------------P-values----------------', 'SGENE']
19571809	2	16	9	5.53E-04  	['----------------P-values----------------', 'SGENE']
19571809	2	22	9	2.27E-03  	['----------------P-values----------------', 'SGENE']
19571809	2	14	8	5.11E-04  	['----------------P-values----------------', 'ISC']
19571809	1	27	4	2.14E-05  	['P-value']
19571809	2	4	9	2.57E-04  	['----------------P-values----------------', 'SGENE']
19571809	2	28	9	1.22E-02  	['----------------P-values----------------', 'SGENE']
19571809	1	16	4	2.14E-06  	['P-value']
19571809	2	31	7	1.63E-02  	['----------------P-values----------------', 'MGS']
19571809	2	4	7	5.12E-02  	['----------------P-values----------------', 'MGS']
19571809	2	5	6	4.72E-07  	['----------------P-values----------------', 'COMB']
19571809	2	26	7	2.87E-02  	['----------------P-values----------------', 'MGS']
19571809	2	19	9	8.48E-04  	['----------------P-values----------------', 'SGENE']
19571809	2	4	8	5.66E-04  	['----------------P-values----------------', 'ISC']
19571809	2	23	6	1.83E-07  	['----------------P-values----------------', 'COMB']
19571809	2	20	6	3.81E-08  	['----------------P-values----------------', 'COMB']
19571809	1	21	4	9.59E-06  	['P-value']
19571809	2	4	6	1.19E-07  	['----------------P-values----------------', 'COMB']
19571809	2	9	6	1.78E-08  	['----------------P-values----------------', 'COMB']
19571809	2	30	9	1.03E-02  	['----------------P-values----------------', 'SGENE']
19571809	2	24	7	1.04E-01  	['----------------P-values----------------', 'MGS']
19571809	2	5	8	2.68E-03  	['----------------P-values----------------', 'ISC']
19571809	2	15	9	6.12E-05  	['----------------P-values----------------', 'SGENE']
19571809	2	20	9	1.09E-03  	['----------------P-values----------------', 'SGENE']
19571809	2	22	7	2.80E-03  	['----------------P-values----------------', 'MGS']
19571809	2	9	7	1.21E-02  	['----------------P-values----------------', 'MGS']
19571809	1	2	4	4.59E-07  	['P-value']
19571809	2	24	8	3.00E-05  	['----------------P-values----------------', 'ISC']
19571809	2	16	6	1.28E-07  	['----------------P-values----------------', 'COMB']
19571809	2	13	9	1.48E-04  	['----------------P-values----------------', 'SGENE']
19571809	2	6	9	2.68E-04  	['----------------P-values----------------', 'SGENE']
19571809	2	8	8	2.80E-04  	['----------------P-values----------------', 'ISC']
19578366	1	13	1	3.40E-08  	['rs1412829', '9', '22033926']
19578366	1	13	2	1.50E-07  	['rs6010620', '20', '61780283']
19578366	1	27	2	3.40E-09  	['rs6010620', '20', '61780283']
19578366	1	13	3	1.50E-07  	['rs4809324', '20', '61788664']
19578366	1	27	1	1.85E-10  	['rs1412829', '9', '22033926']
19578366	1	27	3	1.70E-09  	['rs4809324', '20', '61788664']
19609347	2	5	9	1.03e-05  	['P']
19609347	3	6	9	4.80E-08  	['P', 'Systolic BP']
19609347	3	21	9	6.29E-06  	['P', 'Systolic BP']
19609347	3	22	9	6.66E-06  	['P', 'Systolic BP']
19609347	6	3	3	2.59e-05  	['P in African American discovery sample']
19609347	6	2	3	3.45e-06  	['P in African American discovery sample']
19609347	2	10	9	1.95e-05  	['P']
19609347	6	7	3	1.54e-08  	['P in African American discovery sample']
19609347	3	17	9	4.73E-06  	['P', 'Systolic BP']
19609347	3	13	9	5.80E-07  	['P', 'Systolic BP']
19609347	2	8	9	1.66e-05  	['P']
19609347	3	16	9	4.53E-06  	['P', 'Systolic BP']
19609347	5	7	1	6.740e-2  	['p']
19609347	6	9	3	7.73e-06  	['P in African American discovery sample']
19609347	3	3	9	3.42E-09  	['P', 'Systolic BP']
19609347	6	8	3	1.59e-08  	['P in African American discovery sample']
19609347	2	3	9	3.45e-06  	['P']
19609347	2	2	9	2.97e-06  	['P']
19609347	3	20	9	5.73E-06  	['P', 'Systolic BP']
19609347	5	5	1	4.986e-2  	['p']
19609347	4	4	1	3.387e-2  	['p']
19609347	3	9	9	5.06E-07  	['P', 'Systolic BP']
19609347	5	1	1	4.525e-3  	['p']
19609347	4	5	1	4.807e-2  	['p']
19609347	6	5	5	3.32e-06  	['Combined p value', '0.009', '***']
19609347	4	6	1	5.277e-2  	['p']
19609347	3	15	9	4.47E-06  	['P', 'Systolic BP']
19609347	4	1	1	2.292e-5  	['p']
19609347	6	4	3	1.66e-05  	['P in African American discovery sample']
19609347	3	4	9	1.54E-08  	['P', 'Systolic BP']
19609347	6	12	3	8.76e-07  	['P in African American discovery sample']
19609347	3	11	9	1.21E-06  	['P', 'Systolic BP']
19609347	6	11	3	4.47e-06  	['P in African American discovery sample']
19609347	6	6	3	3.42e-09  	['P in African American discovery sample']
19609347	4	3	1	1.407e-3  	['p']
19609347	3	14	9	8.76E-07  	['P', 'Systolic BP']
19609347	3	7	9	6.71E-08  	['P', 'Systolic BP']
19609347	3	2	9	2.09E-11  	['P', 'Systolic BP']
19609347	5	4	1	4.885e-2  	['p']
19609347	5	2	1	1.050e-2  	['p']
19609347	6	10	3	6.29e-06  	['P in African American discovery sample']
19609347	5	6	1	5.213e-2  	['p']
19609347	6	13	3	5.8e-07   	['P in African American discovery sample']
19609347	3	10	9	1.12E-06  	['P', 'Systolic BP']
19609347	2	9	9	1.73e-05  	['P']
19609347	5	10	1	2.599e-1  	['p']
19609347	2	4	9	6.14e-06  	['P']
19609347	2	6	9	1.14e-05  	['P']
19609347	5	8	1	1.250e-1  	['p']
19609347	2	1	9	5.10e-07  	['P']
19609347	3	18	9	4.99E-06  	['P', 'Systolic BP']
19609347	6	2	5	4.73e-06  	['Combined p value', '0.009', '***']
19609347	3	5	9	1.59E-08  	['P', 'Systolic BP']
19609347	3	8	9	2.13E-07  	['P', 'Systolic BP']
19609347	4	7	1	5.394e-2  	['p']
19609347	6	1	3	5.10e-07  	['P in African American discovery sample']
19609347	2	7	9	1.54e-05  	['P']
19609347	3	19	9	5.10E-06  	['P', 'Systolic BP']
19609347	5	9	1	1.595e-1  	['p']
19609347	5	3	1	3.169e-2  	['p']
19609347	6	5	3	1.03e-05  	['P in African American discovery sample']
19609347	4	2	1	1.179e-3  	['p']
19721433	2	12	9	1.84E-06  	['Test', 'p', 'value']
19721433	2	9	9	5.41E-07  	['Test', 'p', 'value']
19721433	2	16	9	3.07E-06  	['Test', 'p', 'value']
19721433	2	4	9	9.82E-08  	['Test', 'p', 'value']
19721433	2	15	9	2.98E-06  	['Test', 'p', 'value']
19721433	2	17	9	3.30E-06  	['Test', 'p', 'value']
19721433	2	8	9	3.20E-07  	['Test', 'p', 'value']
19721433	2	5	9	5.38E-07  	['Test', 'p', 'value']
19721433	2	10	9	1.41E-06  	['Test', 'p', 'value']
19721433	2	13	9	2.67E-06  	['Test', 'p', 'value']
19721433	2	7	9	2.25E-07  	['Test', 'p', 'value']
19798445	3	4	6	2.05E-03  	['P gwasI (N = 2503)', '0.0109']
19798445	3	3	12	1.83E-03  	['Combined P', '0.0180']
19798445	3	20	12	3.54E-03  	['Combined P', '0.0180']
19798445	3	6	6	1.89E-03  	['P gwasI (N = 2503)', '0.0109']
19798445	3	2	12	5.13E-04  	['Combined P', '0.0180']
19798445	3	4	12	7.44E-03  	['Combined P', '0.0180']
19798445	3	2	6	7.25E-03  	['P gwasI (N = 2503)', '0.0109']
19798445	3	13	12	2.01E-03  	['Combined P', '0.0180']
19798445	3	21	6	8.04E-03  	['P gwasI (N = 2503)', '0.0109']
19798445	3	20	6	8.04E-03  	['P gwasI (N = 2503)', '0.0109']
19798445	3	13	6	2.49E-03  	['P gwasI (N = 2503)', '0.0109']
19798445	3	21	12	2.75E-03  	['Combined P', '0.0180']
19801982	1	22	15	4.8E-08   	['Femoral neck BMD', 'Effect estimate (in SD)', 'P-value']
19801982	1	7	16	1.1E-12   	['Femoral neck BMD', 'OMA-GC', 'P-value']
19801982	1	24	15	2.0E-10   	['Femoral neck BMD', 'Effect estimate (in SD)', 'P-value']
19801982	1	8	9	1.1E-09   	['Lumbar spine BMD', 'Effect estimate (in SD)', 'P-value']
19801982	1	26	9	1.1E-15   	['Lumbar spine BMD', 'Effect estimate (in SD)', 'P-value']
19801982	1	11	9	2.3E-09   	['Lumbar spine BMD', 'Effect estimate (in SD)', 'P-value']
19801982	1	26	10	1.6E-14   	['Lumbar spine BMD', 'OMA-GC', 'P-value']
